Rank,Symbol,Kinetic_Score,ATR_pct,Best_Long_Run_pct,Best_Short_Drop_pct,Predator_Type
1,CRCL,100.00,11.43,367.17,49.83,LONG DRIVER
2,SPCE,99.20,12.55,269.29,63.48,LONG DRIVER
3,ASTS,98.40,9.64,127.68,39.33,LONG DRIVER
4,APLD,97.60,7.11,168.17,46.65,LONG DRIVER
5,RGTI,96.80,8.01,137.73,52.68,LONG DRIVER
6,LUNR,96.00,11.17,97.93,45.09,LONG DRIVER
7,QUBT,95.20,8.25,101.64,46.28,LONG DRIVER
8,ENPH,94.40,7.00,110.85,35.35,LONG DRIVER
9,MP,93.60,6.18,122.58,44.31,LONG DRIVER
10,IREN,92.80,7.67,95.35,48.59,LONG DRIVER
11,HIMS,92.00,7.09,100.44,50.52,LONG DRIVER
12,JOBY,91.20,6.50,108.40,41.91,LONG DRIVER
13,RKLB,90.40,7.15,94.09,40.46,LONG DRIVER
14,KTOS,89.60,8.13,80.28,36.94,LONG DRIVER
15,LEU,88.80,7.55,81.66,46.00,LONG DRIVER
16,SNDK,88.00,5.08,117.59,35.74,LONG DRIVER
17,SOUN,87.20,7.71,75.90,42.02,LONG DRIVER
18,IONQ,86.40,6.48,88.53,44.71,LONG DRIVER
19,NBIS,85.60,6.42,88.18,42.04,LONG DRIVER
20,INTC,84.80,5.27,104.29,22.86,LONG DRIVER
21,RMBS,84.00,6.62,80.62,35.41,LONG DRIVER
22,ARM,83.20,4.68,113.05,30.28,LONG DRIVER
23,HUT,82.40,5.98,88.15,42.99,LONG DRIVER
24,COIN,81.60,7.78,62.35,42.21,OMNI-VIOLENT
25,MSTR,80.80,8.14,57.43,41.89,OMNI-VIOLENT
26,ALAB,80.00,4.52,102.00,44.48,LONG DRIVER
27,COHR,79.20,6.84,64.64,31.56,LONG DRIVER
28,ACHR,78.40,6.74,63.90,40.94,LONG DRIVER
29,UCTT,77.60,4.75,89.01,34.00,LONG DRIVER
30,QCOM,76.80,4.81,87.73,25.87,LONG DRIVER
31,TTD,76.00,7.05,56.07,45.10,OMNI-VIOLENT
32,SMCI,75.20,5.31,74.41,41.87,LONG DRIVER
33,RDDT,74.40,4.92,78.77,43.45,LONG DRIVER
34,MARA,73.60,6.33,60.16,48.05,OMNI-VIOLENT
35,SNOW,72.80,4.00,95.13,33.18,LONG DRIVER
36,MRVL,72.00,3.72,99.08,24.98,LONG DRIVER
37,MU,71.20,4.26,85.51,33.91,LONG DRIVER
38,MDB,70.40,5.43,66.66,40.82,LONG DRIVER
39,DELL,69.60,3.39,106.57,30.65,LONG DRIVER
40,CELH,68.80,6.86,52.51,39.10,OMNI-VIOLENT
41,RIOT,68.00,5.16,68.91,45.72,OMNI-VIOLENT
42,CLS,67.20,5.92,59.99,27.61,LONG DRIVER
43,OKTA,66.40,4.20,83.80,24.83,LONG DRIVER
44,TTMI,65.60,5.19,66.81,26.31,LONG DRIVER
45,NOW,64.80,5.40,62.92,28.27,LONG DRIVER
46,ZS,64.00,7.29,43.18,37.52,OMNI-VIOLENT
47,AFRM,63.20,5.15,59.64,32.03,LONG DRIVER
48,VRT,62.40,5.59,53.68,24.54,LONG DRIVER
49,ON,61.60,4.33,66.09,27.16,LONG DRIVER
50,WDC,60.80,4.91,57.95,25.79,LONG DRIVER
51,STX,60.00,4.35,64.60,23.86,LONG DRIVER
52,DDOG,59.20,3.83,72.15,26.55,LONG DRIVER
53,APP,58.40,5.56,49.54,43.35,OMNI-VIOLENT
54,GLW,57.60,5.03,53.43,25.97,LONG DRIVER
55,AMD,56.80,3.86,69.63,28.56,LONG DRIVER
56,BIDU,56.00,4.78,55.65,22.72,LONG DRIVER
57,CRSP,55.20,5.01,52.64,30.16,LONG DRIVER
58,SOFI,54.40,5.22,49.32,29.77,LONG DRIVER
59,NET,53.60,5.34,47.85,30.32,LONG DRIVER
60,HOOD,52.80,5.29,46.93,40.05,OMNI-VIOLENT
61,ORCL,52.00,4.20,58.01,30.64,LONG DRIVER
62,MPWR,51.20,4.54,53.53,24.15,LONG DRIVER
63,MTSI,50.40,4.45,53.82,23.69,LONG DRIVER
64,RIVN,49.60,5.06,46.64,29.06,LONG DRIVER
65,TER,48.80,5.06,46.32,28.49,LONG DRIVER
66,AXON,48.00,5.34,43.32,38.95,OMNI-VIOLENT
67,AI,47.20,4.63,42.07,49.82,OMNI-VIOLENT
68,DUOL,46.40,5.06,41.68,45.56,OMNI-VIOLENT
69,FSLR,45.60,4.48,47.99,25.46,LONG DRIVER
70,CCJ,44.80,5.44,39.15,25.86,LONG DRIVER
71,NVMI,44.00,4.77,44.65,25.21,LONG DRIVER
72,ANET,43.20,4.30,48.99,28.83,LONG DRIVER
73,NRG,42.40,5.54,35.21,23.01,LONG DRIVER
