Rank,Symbol,Kinetic_Score,ATR_pct,Best_Long_Run_pct,Best_Short_Drop_pct,Predator_Type
1,ASTS,100.00,9.64,127.68,39.33,LONG DRIVER
2,RGTI,89.36,8.01,137.73,52.68,LONG DRIVER
3,LUNR,88.56,11.17,97.93,45.09,LONG DRIVER
4,QUBT,67.21,8.25,101.64,46.28,LONG DRIVER
5,MP,60.45,6.18,122.58,44.31,LONG DRIVER
6,IREN,58.33,7.67,95.35,48.59,LONG DRIVER
7,HIMS,56.65,7.09,100.44,50.52,LONG DRIVER
8,RKLB,53.37,7.15,94.09,40.46,LONG DRIVER
9,SNDK,47.06,5.08,117.59,35.74,LONG DRIVER
10,SOUN,46.05,7.71,75.90,42.02,LONG DRIVER
11,IONQ,45.12,6.48,88.53,44.71,LONG DRIVER
12,NBIS,44.44,6.42,88.18,42.04,LONG DRIVER
13,INTC,43.10,5.27,104.29,22.86,LONG DRIVER
14,ARM,41.35,4.68,113.05,30.28,LONG DRIVER
15,COIN,37.68,7.78,62.35,42.21,OMNI-VIOLENT
16,MSTR,36.24,8.14,57.43,41.89,OMNI-VIOLENT
17,ALAB,35.69,4.52,102.00,44.48,LONG DRIVER
18,QCOM,32.44,4.81,87.73,25.87,LONG DRIVER
19,TTD,30.21,7.05,56.07,45.10,OMNI-VIOLENT
20,SMCI,30.16,5.31,74.41,41.87,LONG DRIVER
21,RDDT,29.53,4.92,78.77,43.45,FLATLINER
22,MARA,29.01,6.33,60.16,48.05,FLATLINER
23,SNOW,28.93,4.00,95.13,33.18,FLATLINER
24,MRVL,27.99,3.72,99.08,24.98,FLATLINER
25,MU,27.59,4.26,85.51,33.91,FLATLINER
26,DELL,27.33,3.39,106.57,30.65,FLATLINER
27,CELH,27.25,6.86,52.51,39.10,FLATLINER
28,CLS,26.83,5.92,59.99,27.61,FLATLINER
29,NOW,25.55,5.40,62.92,28.27,FLATLINER
30,AFRM,22.80,5.15,59.64,32.03,FLATLINER
31,VRT,22.22,5.59,53.68,24.54,FLATLINER
32,WDC,20.94,4.91,57.95,25.79,FLATLINER
33,STX,20.64,4.35,64.60,23.86,FLATLINER
34,DDOG,20.27,3.83,72.15,26.55,FLATLINER
35,APP,20.16,5.56,49.54,43.35,FLATLINER
